table_name,module,description_en,description_fr,key_columns,relations,sensitive,notes
V_PRODUCT_PRIMARY_SUPPLIER,Reference,Simplified product supplier view selecting one primary supplier per product from M_PRODUCT_PO and supplier partner names.,Vue simplifiee produit fournisseur choisissant un fournisseur primaire par produit depuis M_PRODUCT_PO.,M_PRODUCT_ID:bigint:Product identifier|SUPPLIER_ID:bigint:Primary supplier business partner identifier|SUPPLIER_NAME:varchar:Supplier display name|ISCURRENTVENDOR:char(1):Whether selected supplier is marked current vendor|ISACTIVE:char(1):Active supplier relation flag|PRICEPO:numeric:Purchase price|PRICELASTPO:numeric:Last purchase order price|VENDORPRODUCTNO:varchar:Supplier product reference,M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|SUPPLIER_ID -> C_BPARTNER_VENDOR (C_BPARTNER_ID)|M_PRODUCT_ID -> M_PRODUCT_PO (M_PRODUCT_ID),false,Preferred object for fournisseur analytics because it prevents duplicate CA when a product has multiple supplier rows. For CA facture par fournisseur join C_INVOICELINE.M_PRODUCT_ID directly to V_PRODUCT_PRIMARY_SUPPLIER.M_PRODUCT_ID and join C_INVOICELINE.C_INVOICE_ID to C_INVOICE.C_INVOICE_ID for invoice filters. Do not route supplier revenue through M_INOUTLINE unless delivery context is requested.
FACT_SALES_MONTHLY,Forecasting,Monthly sales forecasting fact table with invoiced CA ordered CA invoice counts order counts paid and unpaid invoice amounts and partial-month flag.,Table de faits mensuelle pour prevision des ventes avec CA facture CA commande nombres de factures commandes montants payes impayes et indicateur mois partiel.,MONTH:date:First day of month primary key|CA_FACTURE:numeric:Invoiced sales CA from invoice GRANDTOTAL TTC|N_FACTURES:int:Number of invoices|CA_COMMANDE:numeric:Ordered sales CA from order GRANDTOTAL TTC|N_COMMANDES:int:Number of orders|CA_FACTURE_PAYE:numeric:Paid invoiced CA|CA_FACTURE_IMPAYE:numeric:Unpaid invoiced CA|IS_PARTIAL:boolean:True for current incomplete month,MONTH -> FACT_SALES_MONTHLY_BY_COMMERCIAL (MONTH)|MONTH -> FACT_SALES_MONTHLY_BY_CATEGORY (MONTH)|MONTH -> FACT_SALES_MONTHLY_BY_THEME (MONTH),false,Use for trend forecasting ML Prophet training seasonal sales monthly CA and 24-month history questions. Exclude IS_PARTIAL true rows from model training.
FACT_SALES_MONTHLY_BY_COMMERCIAL,Forecasting,Monthly invoiced CA by commercial or sales representative for forecasting and commercial trend drill-down.,CA facture mensuel par commercial pour prevision et analyse des tendances commerciales.,MONTH:date:First day of month|SALESREP_ID:bigint:Sales representative identifier|COMMERCIAL_NAME:text:Commercial display name|CA_FACTURE:numeric:Invoiced CA GRANDTOTAL TTC|N_FACTURES:int:Number of invoices|IS_PARTIAL:boolean:Current incomplete month flag,SALESREP_ID -> AD_USER (AD_USER_ID)|SALESREP_ID -> V_SALESREP_USER (SALESREP_ID)|MONTH -> FACT_SALES_MONTHLY (MONTH),false,Use for monthly commercial performance and forecast drill-down by salesrep. Exclude IS_PARTIAL true rows from ML training.
FACT_SALES_MONTHLY_BY_CATEGORY,Forecasting,Monthly invoiced line CA by product category for category-level seasonality and forecasting analysis.,CA facture mensuel HT par categorie produit pour saisonnalite et prevision par categorie.,MONTH:date:First day of month|CATEGORY_ID:bigint:Product category identifier|CATEGORY_NAME:text:Product category label|CA_FACTURE:numeric:Invoice line net amount HT|IS_PARTIAL:boolean:Current incomplete month flag,CATEGORY_ID -> M_PRODUCT_CATEGORY (M_PRODUCT_CATEGORY_ID)|MONTH -> FACT_SALES_MONTHLY (MONTH),false,"Use for monthly category trends and seasonality. CA here is invoice-line LINENETAMT HT, not header GRANDTOTAL TTC."
FACT_SALES_MONTHLY_BY_THEME,Forecasting,Monthly invoiced line CA by product theme for theme-level seasonality and forecasting analysis.,CA facture mensuel HT par thematique produit pour saisonnalite et prevision par theme.,MONTH:date:First day of month|THEME_ID:bigint:Product theme identifier|THEME_NAME:text:Product theme label|CA_FACTURE:numeric:Invoice line net amount HT|IS_PARTIAL:boolean:Current incomplete month flag,THEME_ID -> M_PRODUCT_THEME (M_PRODUCT_THEME_ID)|MONTH -> FACT_SALES_MONTHLY (MONTH),false,Use for monthly thematique trends and seasonality. CA here is invoice-line LINENETAMT HT and rows without theme are excluded.
LPN_CUSTOMER_PORTFOLIO_2025_2026,Sales,Corrected customer portfolio for the 2025+2026 export with customer attributes order counts invoice counts ordered CA invoiced CA paid CA and unpaid CA.,Portefeuille client corrige pour export 2025+2026 avec attributs client nombres commandes factures CA commande CA facture CA paye et impaye.,C_BPARTNER_ID:bigint:Customer identifier|CUSTOMER_CODE:text:Customer code|CUSTOMER_NAME:text:Customer name|ORDER_COUNT:int:Number of orders|ORDERED_CA_TTC:numeric:Ordered CA TTC aggregated separately|INVOICE_COUNT:int:Number of invoices|INVOICED_CA_TTC:numeric:Invoiced CA TTC aggregated separately|PAID_CA_TTC:numeric:Paid invoiced CA|UNPAID_CA_TTC:numeric:Unpaid invoiced CA,C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|SALESREP_ID -> AD_USER (AD_USER_ID)|C_PAYMENTTERM_ID -> C_PAYMENTTERM (C_PAYMENTTERM_ID)|M_PRICELIST_ID -> M_PRICELIST (M_PRICELIST_ID),false,Use for customer portfolio ranking and credit/open-balance context. This corrected table avoids the many-to-many CA inflation issue in the older file 57.
C_BPARTNER_LOCATION,Reference,Business partner location bridge connecting customers or partners to physical location records.,Table de liaison entre tiers clients partenaires et adresses physiques.,C_BPARTNER_LOCATION_ID:bigint:Partner location identifier|C_BPARTNER_ID:bigint:Business partner|C_LOCATION_ID:bigint:Physical location|NAME:text:Location name|ISACTIVE:char(1):Active flag,C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|C_LOCATION_ID -> C_LOCATION (C_LOCATION_ID),false,"Use only for customer address city or region analysis, normally together with C_LOCATION C_CITY and C_REGION."
C_LOCATION,Reference,Physical address/location table with city region country and address fields for customer geography analysis.,Table des adresses physiques avec ville region pays et champs adresse pour analyse geographique client.,C_LOCATION_ID:bigint:Physical location identifier|ADDRESS1:text:Address line|CITY:text:City text|C_CITY_ID:bigint:City identifier|C_REGION_ID:bigint:Region identifier|C_COUNTRY_ID:bigint:Country identifier,C_LOCATION_ID -> C_BPARTNER_LOCATION (C_LOCATION_ID)|C_CITY_ID -> C_CITY (C_CITY_ID)|C_REGION_ID -> C_REGION (C_REGION_ID),false,"Use for customer geography, city and region questions. Be careful with address fields because they may contain customer-specific locations."
C_PAYMENTTERM,Reference,Payment term reference table used to label customer and invoice payment conditions.,Referentiel des conditions de paiement utilise pour libeller les modalites client et facture.,C_PAYMENTTERM_ID:bigint:Payment term identifier|NAME:text:Payment term label|NETDAYS:bigint:Net payment days|ISDUEFIXED:char(1):Fixed due date flag,C_PAYMENTTERM_ID -> C_BPARTNER (C_PAYMENTTERM_ID)|C_PAYMENTTERM_ID -> C_ORDER (C_PAYMENTTERM_ID)|C_PAYMENTTERM_ID -> C_INVOICE (C_PAYMENTTERM_ID),false,Use for questions about payment terms such as 120 J and customer payment conditions.
M_PRICELIST,Reference,Price list reference table used to label customer and order pricing lists.,Referentiel des listes de prix utilise pour libeller les tarifs client et commande.,M_PRICELIST_ID:bigint:Price list identifier|NAME:text:Price list label|DESCRIPTION:text:Description|C_CURRENCY_ID:bigint:Currency,M_PRICELIST_ID -> C_BPARTNER (M_PRICELIST_ID)|M_PRICELIST_ID -> C_ORDER (M_PRICELIST_ID),false,Use for customer pricing list segmentation and portfolio context.
C_REGION,Reference,Region reference table for geographic grouping of customer locations.,Referentiel des regions pour regroupement geographique des adresses client.,C_REGION_ID:bigint:Region identifier|NAME:text:Region name|C_COUNTRY_ID:bigint:Country identifier,C_REGION_ID -> C_LOCATION (C_REGION_ID)|C_REGION_ID -> C_CITY (C_REGION_ID),false,Use with C_LOCATION and C_BPARTNER_LOCATION for regional customer and CA analysis.
C_CITY,Reference,City reference table for geographic grouping of customer locations.,Referentiel des villes pour regroupement geographique des adresses client.,C_CITY_ID:bigint:City identifier|NAME:text:City name|C_REGION_ID:bigint:Region identifier|C_COUNTRY_ID:bigint:Country identifier,C_CITY_ID -> C_LOCATION (C_CITY_ID)|C_REGION_ID -> C_REGION (C_REGION_ID),false,Use with C_LOCATION and C_BPARTNER_LOCATION for city-level customer and CA analysis.
